B	﻿			﻿	未知語						
	た	た	タ	タ	助動詞	助動詞-タ	終止形-一般	た	タ	和	21642
	けれど	けれど	ケレド	ケレド	助詞-接続助詞			けれど	ケレド	和	11238
	も	も	モ	モ	助詞-係助詞			も	モ	和	37562
	友達	友達	トモダチ	トモダチ	名詞-普通名詞-一般			友達	トモダチ	和	26660
	は	は	ハ	ハ	助詞-係助詞			は	ワ	和	29321
	それ	其れ	ソレ	ソレ	代名詞			それ	ソレ	和	21461
	を	を	ヲ	ヲ	助詞-格助詞			を	オ	和	41407
	信じ	信ずる	シンズル	シンズル	動詞-一般	サ行変格	未然形-一般	信じ	シンジ	混	17410
	なかっ	ない	ナイ	ナイ	助動詞	助動詞-ナイ	連用形-促音便	なかっ	ナカッ	和	27438
	た	た	タ	タ	助動詞	助動詞-タ	終止形-一般	た	タ	和	21642
	。	。			補助記号-句点			。		記号	25
	友達	友達	トモダチ	トモダチ	名詞-普通名詞-一般			友達	トモダチ	和	26660
	は	は	ハ	ハ	助詞-係助詞			は	ワ	和	29321
	かねて	予て	カネテ	カネテ	副詞			かねて	カネテ	和	6945
	から	から	カラ	カラ	助詞-格助詞			から	カラ	和	7219
	国元	国元	クニモト	クニモト	名詞-普通名詞-一般			国元	クニモト	和	50653
	に	に	ニ	ニ	助詞-格助詞			に	ニ	和	28178
	いる	居る	イル	イル	動詞-非自立可能	上一段-ア行	連体形-一般	いる	イル	和	2585
	親	親	オヤ	オヤ	名詞-普通名詞-一般			親	オヤ	和	5295
	たち	達	タチ	タチ	接尾辞-名詞的-一般			たち	タチ	和	22373
	に	に	ニ	ニ	助詞-格助詞			に	ニ	和	28178
	勧	ススム	ススム	ススム	名詞-固有名詞-人名-名			勧	ススム	固	19184
	ま	まー	マー	マ	感動詞-フィラー			ま	マ	和	36196
	ない	無い	ナイ	ナイ	形容詞-非自立可能	形容詞	連体形-一般	ない	ナイ	和	27442
	結婚	結婚	ケッコン	ケッコン	名詞-普通名詞-サ変可能			結婚	ケッコン	漢	11131
	を	を	ヲ	ヲ	助詞-格助詞			を	オ	和	41407
	強い	強いる	シイル	シイル	動詞-一般	上一段-ア行	未然形-一般	強い	シイ	和	14983
	られ	られる	ラレル	ラレル	助動詞	助動詞-レル	連用形-一般	られ	ラレ	和	39787
	て	て	テ	テ	助詞-接続助詞			て	テ	和	24874
	い	居る	イル	イル	動詞-非自立可能	上一段-ア行	連用形-一般	い	イ	和	2585
	た	た	タ	タ	助動詞	助動詞-タ	終止形-一般	た	タ	和	21642
	。	。			補助記号-句点			。		記号	25
	彼	彼	カレ	カレ	代名詞			彼	カレ	和	7330
	は	は	ハ	ハ	助詞-係助詞			は	ワ	和	29321
	現代	現代	ゲンダイ	ゲンダイ	名詞-普通名詞-副詞可能			現代	ゲンダイ	漢	11726
	の	の	ノ	ノ	助詞-格助詞			の	ノ	和	28989
	習慣	習慣	シュウカン	シュウカン	名詞-普通名詞-一般			習慣	シューカン	漢	16073
	から	から	カラ	カラ	助詞-格助詞			から	カラ	和	7219
	いう	言う	イウ	イウ	動詞-一般	五段-ワア行	終止形-一般	いう	イウ	和	1571
	と	と	ト	ト	助詞-接続助詞			と	ト	和	25825
	結婚	結婚	ケッコン	ケッコン	名詞-普通名詞-サ変可能			結婚	ケッコン	漢	11131
	する	為る	スル	スル	動詞-非自立可能	サ行変格	終止形-一般	する	スル	和	19537
	に	に	ニ	ニ	助詞-格助詞			に	ニ	和	28178
	は	は	ハ	ハ	助詞-係助詞			は	ワ	和	29321
	あまり	余り	アマリ	アマリ	副詞			あまり	アマリ	和	1031
	年	年	トシ	トシ	名詞-普通名詞-副詞可能			年	トシ	和	26386
	が	が	ガ	ガ	助詞-格助詞			が	ガ	和	7889
	若	若い	ワカイ	ワカイ	形容詞-一般	形容詞	語幹-一般	若	ワカ	和	41141
	過ぎ	過ぎる	スギル	スギル	動詞-非自立可能	上一段-ガ行	連用形-一般	過ぎ	スギ	和	19108
	た	た	タ	タ	助動詞	助動詞-タ	終止形-一般	た	タ	和	21642
